oD code,Organisation,Year,Region,Spending,Notes
12,Federalist Society,2017,Latin America,$0,
13,Fellowship Foundation,2017,Latin America,"$76,000",
14,Focus on the Family,2017,Latin America,"$382,229",
15,Heartbeat International,2017,Latin America,"$2,000",
16,Home School Legal Defense Association,2017,Latin America,$0,
17,Human Life International,2017,Latin America,"$77,065",
18,International House of Prayer,2017,Latin America,,No 990
19,International Human Rights Group,2017,Latin America,"$75,000",
20,InterVarsity Christian Fellowship,2017,Latin America,"$207,686",
21,Leadership Institute,2017,Latin America,"$53,652",
22,Liberty Counsel,2017,Latin America,,No Schedule F
23,LifeSiteNews,2017,Latin America,,No Schedule F
24,Population Research Institute,2017,Latin America,"$152,000",
25,Religious Freedom Institute,2017,Latin America,$0,
26,Summit Ministries,2017,Latin America,,No Schedule F
27,The Heritage Foundation,2017,Latin America,$953,
28,World Youth Alliance,2017,Latin America,"$75,786",
1,Acton Institute for the Study of Religion and Liberty,2017,Middle East & North Africa,$0,
2,Alliance Defending Freedom,2017,Middle East & North Africa,"$15,000",
3,American Center for Law and Justice,2017,Middle East & North Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2017,Middle East & North Africa,$0,
5,Bethany Christian Services,2017,Middle East & North Africa,$0,
6,Billy Graham Evangelistic Association,2017,Middle East & North Africa,,No 990
7,Capitol Ministries,2017,Middle East & North Africa,$0,
8,Cato Institute,2017,Middle East & North Africa,"$2,840",
9,Exodus Cry,2017,Middle East & North Africa,$227,
10,Family Research Council,2017,Middle East & North Africa,"$86,357",
11,Family Watch International,2017,Middle East & North Africa,$0,
12,Federalist Society,2017,Middle East & North Africa,$0,
13,Fellowship Foundation,2017,Middle East & North Africa,"$63,850",
14,Focus on the Family,2017,Middle East & North Africa,"$175,845",
15,Heartbeat International,2017,Middle East & North Africa,"$1,000",
16,Home School Legal Defense Association,2017,Middle East & North Africa,$0,
17,Human Life International,2017,Middle East & North Africa,$0,
18,International House of Prayer,2017,Middle East & North Africa,,No 990
19,International Human Rights Group,2017,Middle East & North Africa,$0,
20,InterVarsity Christian Fellowship,2017,Middle East & North Africa,"$81,031",
21,Leadership Institute,2017,Middle East & North Africa,"$14,903",
22,Liberty Counsel,2017,Middle East & North Africa,,No Schedule F
23,LifeSiteNews,2017,Middle East & North Africa,,No Schedule F
24,Population Research Institute,2017,Middle East & North Africa,$0,
25,Religious Freedom Institute,2017,Middle East & North Africa,$0,
26,Summit Ministries,2017,Middle East & North Africa,,No Schedule F
27,The Heritage Foundation,2017,Middle East & North Africa,"$9,527",
28,World Youth Alliance,2017,Middle East & North Africa,"$63,642",
1,Acton Institute for the Study of Religion and Liberty,2017,North America (outside the US),$0,
2,Alliance Defending Freedom,2017,North America (outside the US),"$405,644",
3,American Center for Law and Justice,2017,North America (outside the US),$0,
4,"American Society for the Defense of Tradition, Family, Property",2017,North America (outside the US),"$26,238",
5,Bethany Christian Services,2017,North America (outside the US),$0,
6,Billy Graham Evangelistic Association,2017,North America (outside the US),,No 990
7,Capitol Ministries,2017,North America (outside the US),"$2,279",
8,Cato Institute,2017,North America (outside the US),27000,
9,Exodus Cry,2017,North America (outside the US),$0,
10,Family Research Council,2017,North America (outside the US),$0,
11,Family Watch International,2017,North America (outside the US),$0,
12,Federalist Society,2017,North America (outside the US),"$19,524",
13,Fellowship Foundation,2017,North America (outside the US),"$15,804",
14,Focus on the Family,2017,North America (outside the US),$0,
15,Heartbeat International,2017,North America (outside the US),$0,
16,Home School Legal Defense Association,2017,North America (outside the US),$0,
17,Human Life International,2017,North America (outside the US),"$8,100",
18,International House of Prayer,2017,North America (outside the US),,No 990
19,International Human Rights Group,2017,North America (outside the US),$0,
20,InterVarsity Christian Fellowship,2017,North America (outside the US),"$425,080",
21,Leadership Institute,2017,North America (outside the US),32787,
22,Liberty Counsel,2017,North America (outside the US),,No Schedule F
23,LifeSiteNews,2017,North America (outside the US),,No Schedule F
24,Population Research Institute,2017,North America (outside the US),$0,
25,Religious Freedom Institute,2017,North America (outside the US),$0,
26,Summit Ministries,2017,North America (outside the US),,No Schedule F
27,The Heritage Foundation,2017,North America (outside the US),"$19,516",
28,World Youth Alliance,2017,North America (outside the US),$0,
1,Acton Institute for the Study of Religion and Liberty,2016,Africa,$0,
2,Alliance Defending Freedom,2016,Africa,"$63,355",
3,American Center for Law and Justice,2016,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2016,Africa,"$3,770",
5,Bethany Christian Services,2016,Africa,"$290,717",
6,Billy Graham Evangelistic Association,2016,Africa,,No 990
7,Capitol Ministries,2016,Africa,"$32,556",
8,Cato Institute,2016,Africa,$0,
9,Exodus Cry,2016,Africa,$0,
10,Family Research Council,2016,Africa,"$10,000",
11,Family Watch International,2016,Africa,"$1,531",
12,Federalist Society,2016,Africa,$0,
13,Fellowship Foundation,2016,Africa,"$3,653,071",
14,Focus on the Family,2016,Africa,"$46,340",
15,Heartbeat International,2016,Africa,"$45,466",
16,Home School Legal Defense Association,2016,Africa,$0,
17,Human Life International,2016,Africa,"$247,475",
18,International House of Prayer,2016,Africa,,No 990
19,International Human Rights Group,2016,Africa,$0,
20,InterVarsity Christian Fellowship,2016,Africa,"$97,525",
21,Leadership Institute,2016,Africa,$0,
22,Liberty Counsel,2016,Africa,,No 990
23,LifeSiteNews,2016,Africa,$0,
24,Population Research Institute,2016,Africa,$0,
25,Religious Freedom Institute,2016,Africa,,No 990
26,Summit Ministries,2016,Africa,$0,
27,The Heritage Foundation,2016,Africa,"$17,890",
28,World Youth Alliance,2016,Africa,"$49,082",
1,Acton Institute for the Study of Religion and Liberty,2016,Asia,"$3,750",
2,Alliance Defending Freedom,2016,Asia,"$204,998",
3,American Center for Law and Justice,2016,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2016,Asia,$0,
5,Bethany Christian Services,2016,Asia,"$27,822",
6,Billy Graham Evangelistic Association,2016,Asia,,No 990
7,Capitol Ministries,2016,Asia,$0,
8,Cato Institute,2016,Asia,0,
9,Exodus Cry,2016,Asia,$0,
10,Family Research Council,2016,Asia,$0,
11,Family Watch International,2016,Asia,$0,
12,Federalist Society,2016,Asia,$0,
13,Fellowship Foundation,2016,Asia,"$723,470",
14,Focus on the Family,2016,Asia,"$207,739",
15,Heartbeat International,2016,Asia,"$73,144",
16,Home School Legal Defense Association,2016,Asia,$0,
17,Human Life International,2016,Asia,"$151,061",
18,International House of Prayer,2016,Asia,,No 990
19,International Human Rights Group,2016,Asia,$0,
20,InterVarsity Christian Fellowship,2016,Asia,"$356,154",
21,Leadership Institute,2016,Asia,0,
22,Liberty Counsel,2016,Asia,,No 990
23,LifeSiteNews,2016,Asia,$0,
24,Population Research Institute,2016,Asia,$0,
25,Religious Freedom Institute,2016,Asia,,No 990
26,Summit Ministries,2016,Asia,$0,
27,The Heritage Foundation,2016,Asia,"$34,023",
28,World Youth Alliance,2016,Asia,"$29,992",
1,Acton Institute for the Study of Religion and Liberty,2016,Eurasia/Russia,$0,
2,Alliance Defending Freedom,2016,Eurasia/Russia,$0,
3,American Center for Law and Justice,2016,Eurasia/Russia,"$308,947",
4,"American Society for the Defense of Tradition, Family, Property",2016,Eurasia/Russia,$0,
5,Bethany Christian Services,2016,Eurasia/Russia,$0,
6,Billy Graham Evangelistic Association,2016,Eurasia/Russia,,No 990
7,Capitol Ministries,2016,Eurasia/Russia,"$1,809",
8,Cato Institute,2016,Eurasia/Russia,$0,
9,Exodus Cry,2016,Eurasia/Russia,$0,
10,Family Research Council,2016,Eurasia/Russia,$0,
11,Family Watch International,2016,Eurasia/Russia,$0,
12,Federalist Society,2016,Eurasia/Russia,$0,
13,Fellowship Foundation,2016,Eurasia/Russia,"$8,400",
14,Focus on the Family,2016,Eurasia/Russia,$0,
15,Heartbeat International,2016,Eurasia/Russia,$0,
16,Home School Legal Defense Association,2016,Eurasia/Russia,"$1,228",
17,Human Life International,2016,Eurasia/Russia,"$9,262",
18,International House of Prayer,2016,Eurasia/Russia,,No 990
19,International Human Rights Group,2016,Eurasia/Russia,$0,
20,InterVarsity Christian Fellowship,2016,Eurasia/Russia,"$253,950",
21,Leadership Institute,2016,Eurasia/Russia,$0,
22,Liberty Counsel,2016,Eurasia/Russia,,No 990
23,LifeSiteNews,2016,Eurasia/Russia,$0,
24,Population Research Institute,2016,Eurasia/Russia,$0,
25,Religious Freedom Institute,2016,Eurasia/Russia,,No 990
26,Summit Ministries,2016,Eurasia/Russia,$0,
27,The Heritage Foundation,2016,Eurasia/Russia,"$5,189",
28,World Youth Alliance,2016,Eurasia/Russia,$0,
1,Acton Institute for the Study of Religion and Liberty,2016,Europe,"$215,903",
2,Alliance Defending Freedom,2016,Europe,"$2,629,632",
3,American Center for Law and Justice,2016,Europe,"$1,217,080",
4,"American Society for the Defense of Tradition, Family, Property",2016,Europe,"$28,019",
5,Bethany Christian Services,2016,Europe,"$45,112",
6,Billy Graham Evangelistic Association,2016,Europe,,No 990
7,Capitol Ministries,2016,Europe,$0,
8,Cato Institute,2016,Europe,"$329,417",
9,Exodus Cry,2016,Europe,"$63,556",
10,Family Research Council,2016,Europe,$0,
11,Family Watch International,2016,Europe,"$9,882",
12,Federalist Society,2016,Europe,"$560,876",
13,Fellowship Foundation ,2016,Europe,"$74,500",
14,Focus on the Family,2016,Europe,"$2,250",
15,Heartbeat International,2016,Europe,"$28,685",
16,Home School Legal Defense Association,2016,Europe,"$12,931",
17,Human Life International,2016,Europe,"$128,039",
18,International House of Prayer,2016,Europe,,No 990
19,International Human Rights Group,2016,Europe,"$153,096",
20,InterVarsity Christian Fellowship,2016,Europe,"$634,604",
21,Leadership Institute,2016,Europe,"$123,351",
22,Liberty Counsel,2016,Europe,,No 990
23,LifeSiteNews,2016,Europe,$0,
24,Population Research Institute,2016,Europe,$0,
25,Religious Freedom Institute,2016,Europe,,No 990
26,Summit Ministries,2016,Europe,"$511,139",
27,The Heritage Foundation,2016,Europe,"$140,781",
28,World Youth Alliance,2016,Europe,"$77,732",
1,Acton Institute for the Study of Religion and Liberty,2016,Latin America,"$63,700",
2,Alliance Defending Freedom,2016,Latin America,"$111,954",
3,American Center for Law and Justice,2016,Latin America,$0,
4,"American Society for the Defense of Tradition, Family, Property",2016,Latin America,"$182,484",
5,Bethany Christian Services,2016,Latin America,"$78,064",
6,Billy Graham Evangelistic Association,2016,Latin America,,No 990
7,Capitol Ministries,2016,Latin America,"$2,116",
8,Cato Institute,2016,Latin America,"$52,734",
9,Exodus Cry,2016,Latin America,"$2,107",
10,Family Research Council,2016,Latin America,$0,
11,Family Watch International,2016,Latin America,"$2,399",
12,Federalist Society,2016,Latin America,$0,
13,Fellowship Foundation,2016,Latin America,"$144,670",
14,Focus on the Family,2016,Latin America,"$380,000",
15,Heartbeat International,2016,Latin America,"$10,716",
16,Home School Legal Defense Association,2016,Latin America,"$6,217",
17,Human Life International,2016,Latin America,"$67,373",
18,International House of Prayer,2016,Latin America,,No 990
19,International Human Rights Group,2016,Latin America,"$5,905",
20,InterVarsity Christian Fellowship,2016,Latin America,"$67,321",
21,Leadership Institute,2016,Latin America,"$115,754",
22,Liberty Counsel,2016,Latin America,,No 990
23,LifeSiteNews,2016,Latin America,$0,
24,Population Research Institute,2016,Latin America,"$158,000",
25,Religious Freedom Institute,2016,Latin America,,No 990
26,Summit Ministries,2016,Latin America,$0,
27,The Heritage Foundation,2016,Latin America,"$2,496",
28,World Youth Alliance,2016,Latin America,"$65,233",
1,Acton Institute for the Study of Religion and Liberty,2016,Middle East & North Africa,$0,
2,Alliance Defending Freedom,2016,Middle East & North Africa,$0,
3,American Center for Law and Justice,2016,Middle East & North Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2016,Middle East & North Africa,"$2,207",
5,Bethany Christian Services,2016,Middle East & North Africa,$0,
6,Billy Graham Evangelistic Association,2016,Middle East & North Africa,,No 990
7,Capitol Ministries,2016,Middle East & North Africa,$0,
8,Cato Institute,2016,Middle East & North Africa,$0,
9,Exodus Cry,2016,Middle East & North Africa,$0,
10,Family Research Council,2016,Middle East & North Africa,$0,
11,Family Watch International,2016,Middle East & North Africa,$0,
12,Federalist Society,2016,Middle East & North Africa,$0,
13,Fellowship Foundation,2016,Middle East & North Africa,"$36,890",
14,Focus on the Family,2016,Middle East & North Africa,"$294,000",
15,Heartbeat International,2016,Middle East & North Africa,"$1,000",
16,Home School Legal Defense Association,2016,Middle East & North Africa,$0,
17,Human Life International,2016,Middle East & North Africa,$0,
18,International House of Prayer,2016,Middle East & North Africa,,No 990
19,International Human Rights Group,2016,Middle East & North Africa,$0,
20,InterVarsity Christian Fellowship,2016,Middle East & North Africa,"$29,996",
21,Leadership Institute,2016,Middle East & North Africa,$0,
22,Liberty Counsel,2016,Middle East & North Africa,,No 990
23,LifeSiteNews,2016,Middle East & North Africa,$0,
24,Population Research Institute,2016,Middle East & North Africa,$0,
25,Religious Freedom Institute,2016,Middle East & North Africa,,No 990
26,Summit Ministries,2016,Middle East & North Africa,$0,
27,The Heritage Foundation,2016,Middle East & North Africa,"$14,763",
28,World Youth Alliance,2016,Middle East & North Africa,"$76,480",
1,Acton Institute for the Study of Religion and Liberty,2016,North America (outside the US),"$3,500",
2,Alliance Defending Freedom,2016,North America (outside the US),"$356,015",
3,American Center for Law and Justice,2016,North America (outside the US),$0,
4,"American Society for the Defense of Tradition, Family, Property",2016,North America (outside the US),"$16,253",
5,Bethany Christian Services,2016,North America (outside the US),$0,
6,Billy Graham Evangelistic Association,2016,North America (outside the US),,No 990
7,Capitol Ministries,2016,North America (outside the US),$0,
8,Cato Institute,2016,North America (outside the US),4500,
9,Exodus Cry,2016,North America (outside the US),$0,
10,Family Research Council,2016,North America (outside the US),$0,
11,Family Watch International,2016,North America (outside the US),$0,
12,Federalist Society,2016,North America (outside the US),"$15,179",
13,Fellowship Foundation,2016,North America (outside the US),"$20,715",
14,Focus on the Family,2016,North America (outside the US),"$300,000",
15,Heartbeat International,2016,North America (outside the US),"$8,960",
16,Home School Legal Defense Association,2016,North America (outside the US),$543,
17,Human Life International,2016,North America (outside the US),$0,
18,International House of Prayer,2016,North America (outside the US),,No 990
19,International Human Rights Group,2016,North America (outside the US),$0,
20,InterVarsity Christian Fellowship,2016,North America (outside the US),"$444,118",
21,Leadership Institute,2016,North America (outside the US),7235,
22,Liberty Counsel,2016,North America (outside the US),,No 990
23,LifeSiteNews,2016,North America (outside the US),"$25,000",
24,Population Research Institute,2016,North America (outside the US),$0,
25,Religious Freedom Institute,2016,North America (outside the US),,No 990
26,Summit Ministries,2016,North America (outside the US),$0,
27,The Heritage Foundation,2016,North America (outside the US),"$5,085",
28,World Youth Alliance,2016,North America (outside the US),$0,
1,Acton Institute for the Study of Religion and Liberty,2015,Africa,"$4,729",
2,Alliance Defending Freedom,2015,Africa,"$26,329",
3,American Center for Law and Justice,2015,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2015,Africa,"$30,000",
5,Bethany Christian Services,2015,Africa,"$305,138",
6,Billy Graham Evangelistic Association,2015,Africa,,No 990
7,Capitol Ministries,2015,Africa,"$10,535",
8,Cato Institute,2015,Africa,$0,
9,Exodus Cry,2015,Africa,$0,
10,Family Research Council,2015,Africa,,No Schedule F
11,Family Watch International,2015,Africa,,No Schedule F
12,Federalist Society,2015,Africa,$0,
13,Fellowship Foundation,2015,Africa,"$3,146,564",
14,Focus on the Family,2015,Africa,"$51,949",
15,Heartbeat International,2015,Africa,"$20,000",
16,Home School Legal Defense Association,2015,Africa,$785,
17,Human Life International,2015,Africa,"$216,357",
18,International House of Prayer,2015,Africa,,No 990
19,International Human Rights Group,2015,Africa,$0,
20,InterVarsity Christian Fellowship,2015,Africa,"$206,012",
21,Leadership Institute,2015,Africa,$0,
22,Liberty Counsel,2015,Africa,,No 990
23,LifeSiteNews,2015,Africa,$0,
24,Population Research Institute,2015,Africa,$0,
25,Religious Freedom Institute,2015,Africa,,No 990
26,Summit Ministries,2015,Africa,$0,
27,The Heritage Foundation,2015,Africa,$852,
28,World Youth Alliance,2015,Africa,"$53,639",
1,Acton Institute for the Study of Religion and Liberty,2015,Asia,"$1,900",
2,Alliance Defending Freedom,2015,Asia,"$149,228",
3,American Center for Law and Justice,2015,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2015,Asia,$0,
5,Bethany Christian Services,2015,Asia,"$45,178",
6,Billy Graham Evangelistic Association,2015,Asia,,No 990
7,Capitol Ministries,2015,Asia,$0,
8,Cato Institute,2015,Asia,0,
9,Exodus Cry,2015,Asia,$0,
10,Family Research Council,2015,Asia,,No Schedule F
11,Family Watch International,2015,Asia,,No Schedule F
12,Federalist Society,2015,Asia,$0,
13,Fellowship Foundation,2015,Asia,"$353,302",
14,Focus on the Family,2015,Asia,"$264,538",
15,Heartbeat International,2015,Asia,"$59,503",
16,Home School Legal Defense Association,2015,Asia,$0,
17,Human Life International,2015,Asia,"$124,916",
18,International House of Prayer,2015,Asia,,No 990
19,International Human Rights Group,2015,Asia,$0,
20,InterVarsity Christian Fellowship,2015,Asia,"$310,227",
21,Leadership Institute,2015,Asia,0,
22,Liberty Counsel,2015,Asia,,No 990
23,LifeSiteNews,2015,Asia,$0,
24,Population Research Institute,2015,Asia,$0,
25,Religious Freedom Institute,2015,Asia,,No 990
26,Summit Ministries,2015,Asia,$0,
27,The Heritage Foundation,2015,Asia,"$58,379",
28,World Youth Alliance,2015,Asia,"$58,958",
1,Acton Institute for the Study of Religion and Liberty,2015,Eurasia/Russia,$0,
2,Alliance Defending Freedom,2015,Eurasia/Russia,$0,
3,American Center for Law and Justice,2015,Eurasia/Russia,"$312,558",
4,"American Society for the Defense of Tradition, Family, Property",2015,Eurasia/Russia,$0,
5,Bethany Christian Services,2015,Eurasia/Russia,$0,
6,Billy Graham Evangelistic Association,2015,Eurasia/Russia,,No 990
7,Capitol Ministries,2015,Eurasia/Russia,"$7,872",
8,Cato Institute,2015,Eurasia/Russia,"$105,000",
9,Exodus Cry,2015,Eurasia/Russia,$0,
10,Family Research Council,2015,Eurasia/Russia,,No Schedule F
11,Family Watch International,2015,Eurasia/Russia,,No Schedule F
12,Federalist Society,2015,Eurasia/Russia,$0,
13,Fellowship Foundation,2015,Eurasia/Russia,$500,
14,Focus on the Family,2015,Eurasia/Russia,$0,
15,Heartbeat International,2015,Eurasia/Russia,"$1,348",
16,Home School Legal Defense Association,2015,Eurasia/Russia,$0,
17,Human Life International,2015,Eurasia/Russia,"$6,750",
18,International House of Prayer,2015,Eurasia/Russia,,No 990
19,International Human Rights Group,2015,Eurasia/Russia,$0,
20,InterVarsity Christian Fellowship,2015,Eurasia/Russia,"$351,504",
21,Leadership Institute,2015,Eurasia/Russia,$0,
22,Liberty Counsel,2015,Eurasia/Russia,,No 990
23,LifeSiteNews,2015,Eurasia/Russia,$0,
24,Population Research Institute,2015,Eurasia/Russia,$0,
25,Religious Freedom Institute,2015,Eurasia/Russia,,No 990
26,Summit Ministries,2015,Eurasia/Russia,$0,
27,The Heritage Foundation,2015,Eurasia/Russia,"$5,395",
28,World Youth Alliance,2015,Eurasia/Russia,$0,
1,Acton Institute for the Study of Religion and Liberty,2015,Europe,"$181,134",
2,Alliance Defending Freedom,2015,Europe,"$2,477,129",
3,American Center for Law and Justice,2015,Europe,"$1,434,889",
4,"American Society for the Defense of Tradition, Family, Property",2015,Europe,"$15,576",
5,Bethany Christian Services,2015,Europe,"$76,692",
6,Billy Graham Evangelistic Association,2015,Europe,,No 990
7,Capitol Ministries,2015,Europe,$0,
8,Cato Institute,2015,Europe,"$130,000",
9,Exodus Cry,2015,Europe,"$11,370",
10,Family Research Council,2015,Europe,,No Schedule F
11,Family Watch International,2015,Europe,,No Schedule F
12,Federalist Society,2015,Europe,"$797,692",
13,Fellowship Foundation ,2015,Europe,"$3,000",
14,Focus on the Family,2015,Europe,"$2,000",
15,Heartbeat International,2015,Europe,"$62,253",
16,Home School Legal Defense Association,2015,Europe,"$45,423",
17,Human Life International,2015,Europe,"$218,376",
18,International House of Prayer,2015,Europe,,No 990
19,International Human Rights Group,2015,Europe,"$130,434",
20,InterVarsity Christian Fellowship,2015,Europe,"$1,186,824",
21,Leadership Institute,2015,Europe,"$6,863",
22,Liberty Counsel,2015,Europe,,No 990
23,LifeSiteNews,2015,Europe,$0,
24,Population Research Institute,2015,Europe,$0,
25,Religious Freedom Institute,2015,Europe,,No 990
26,Summit Ministries,2015,Europe,"$48,000",
27,The Heritage Foundation,2015,Europe,"$61,334",
28,World Youth Alliance,2015,Europe,"$128,181",
1,Acton Institute for the Study of Religion and Liberty,2015,Latin America,"$24,276",
2,Alliance Defending Freedom,2015,Latin America,"$30,200",
3,American Center for Law and Justice,2015,Latin America,$0,
4,"American Society for the Defense of Tradition, Family, Property",2015,Latin America,"$218,956",
5,Bethany Christian Services,2015,Latin America,"$59,251",
6,Billy Graham Evangelistic Association,2015,Latin America,,No 990
7,Capitol Ministries,2015,Latin America,"$8,706",
8,Cato Institute,2015,Latin America,"$38,803",
9,Exodus Cry,2015,Latin America,"$5,636",
10,Family Research Council,2015,Latin America,,No Schedule F
11,Family Watch International,2015,Latin America,,No Schedule F
12,Federalist Society,2015,Latin America,$0,
13,Fellowship Foundation,2015,Latin America,"$347,343",
14,Focus on the Family,2015,Latin America,"$400,000",
15,Heartbeat International,2015,Latin America,$910,
16,Home School Legal Defense Association,2015,Latin America,"$76,322",
17,Human Life International,2015,Latin America,"$80,715",
18,International House of Prayer,2015,Latin America,,No 990
19,International Human Rights Group,2015,Latin America,$0,
20,InterVarsity Christian Fellowship,2015,Latin America,"$57,566",
21,Leadership Institute,2015,Latin America,"$58,340",
22,Liberty Counsel,2015,Latin America,,No 990
23,LifeSiteNews,2015,Latin America,$0,
24,Population Research Institute,2015,Latin America,"$155,000",
25,Religious Freedom Institute,2015,Latin America,,No 990
26,Summit Ministries,2015,Latin America,$0,
27,The Heritage Foundation,2015,Latin America,"$6,192",
28,World Youth Alliance,2015,Latin America,"$78,724",
1,Acton Institute for the Study of Religion and Liberty,2015,Middle East & North Africa,$0,
2,Alliance Defending Freedom,2015,Middle East & North Africa,$0,
3,American Center for Law and Justice,2015,Middle East & North Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2015,Middle East & North Africa,$0,
5,Bethany Christian Services,2015,Middle East & North Africa,$0,
6,Billy Graham Evangelistic Association,2015,Middle East & North Africa,,No 990
7,Capitol Ministries,2015,Middle East & North Africa,$0,
8,Cato Institute,2015,Middle East & North Africa,$0,
9,Exodus Cry,2015,Middle East & North Africa,$0,
10,Family Research Council,2015,Middle East & North Africa,,No Schedule F
11,Family Watch International,2015,Middle East & North Africa,,No Schedule F
12,Federalist Society,2015,Middle East & North Africa,$0,
13,Fellowship Foundation,2015,Middle East & North Africa,"$360,000",
14,Focus on the Family,2015,Middle East & North Africa,"$349,000",
15,Heartbeat International,2015,Middle East & North Africa,$0,
16,Home School Legal Defense Association,2015,Middle East & North Africa,$700,
17,Human Life International,2015,Middle East & North Africa,$0,
18,International House of Prayer,2015,Middle East & North Africa,,No 990
19,International Human Rights Group,2015,Middle East & North Africa,$0,
20,InterVarsity Christian Fellowship,2015,Middle East & North Africa,"$345,151",
21,Leadership Institute,2015,Middle East & North Africa,$0,
22,Liberty Counsel,2015,Middle East & North Africa,,No 990
23,LifeSiteNews,2015,Middle East & North Africa,$0,
24,Population Research Institute,2015,Middle East & North Africa,$0,
25,Religious Freedom Institute,2015,Middle East & North Africa,,No 990
26,Summit Ministries,2015,Middle East & North Africa,$0,
27,The Heritage Foundation,2015,Middle East & North Africa,"$8,675",
28,World Youth Alliance,2015,Middle East & North Africa,"$93,772",
1,Acton Institute for the Study of Religion and Liberty,2015,North America (outside the US),$0,
2,Alliance Defending Freedom,2015,North America (outside the US),"$393,419",
3,American Center for Law and Justice,2015,North America (outside the US),$0,
4,"American Society for the Defense of Tradition, Family, Property",2015,North America (outside the US),"$73,214",
5,Bethany Christian Services,2015,North America (outside the US),$0,
6,Billy Graham Evangelistic Association,2015,North America (outside the US),,No 990
7,Capitol Ministries,2015,North America (outside the US),$0,
8,Cato Institute,2015,North America (outside the US),0,
9,Exodus Cry,2015,North America (outside the US),$0,
10,Family Research Council,2015,North America (outside the US),,No Schedule F
11,Family Watch International,2015,North America (outside the US),,No Schedule F
12,Federalist Society,2015,North America (outside the US),"$85,008",
13,Fellowship Foundation,2015,North America (outside the US),"$10,000",
14,Focus on the Family,2015,North America (outside the US),"$8,702",
15,Heartbeat International,2015,North America (outside the US),"$5,180",
16,Home School Legal Defense Association,2015,North America (outside the US),"$1,539",
17,Human Life International,2015,North America (outside the US),$0,
18,International House of Prayer,2015,North America (outside the US),,No 990
19,International Human Rights Group,2015,North America (outside the US),$0,
20,InterVarsity Christian Fellowship,2015,North America (outside the US),"$499,892",
21,Leadership Institute,2015,North America (outside the US),0,
22,Liberty Counsel,2015,North America (outside the US),,No 990
23,LifeSiteNews,2015,North America (outside the US),"$30,000",
24,Population Research Institute,2015,North America (outside the US),"$7,693",
25,Religious Freedom Institute,2015,North America (outside the US),,No 990
26,Summit Ministries,2015,North America (outside the US),$0,
27,The Heritage Foundation,2015,North America (outside the US),"$2,330",
28,World Youth Alliance,2015,North America (outside the US),$0,
1,Acton Institute for the Study of Religion and Liberty,2014,Africa,"$46,450",
2,Alliance Defending Freedom,2014,Africa,"$5,000",
3,American Center for Law and Justice,2014,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2014,Africa,"$2,834",
5,Bethany Christian Services,2014,Africa,"$242,375",
6,Billy Graham Evangelistic Association,2014,Africa,"$7,493",
7,Capitol Ministries,2014,Africa,,No Schedule F
8,Cato Institute,2014,Africa,$0,
9,Exodus Cry,2014,Africa,$0,
10,Family Research Council,2014,Africa,,No Schedule F
11,Family Watch International,2014,Africa,,No Schedule F
12,Federalist Society,2014,Africa,$0,
13,Fellowship Foundation,2014,Africa,"$3,212,336",
14,Focus on the Family,2014,Africa,"$105,000",
15,Heartbeat International,2014,Africa,"$5,000",
16,Home School Legal Defense Association,2014,Africa,$0,
17,Human Life International,2014,Africa,"$348,393",
18,International House of Prayer,2014,Africa,,No Schedule F
19,International Human Rights Group,2014,Africa,$0,
20,InterVarsity Christian Fellowship,2014,Africa,"$99,253",
21,Leadership Institute,2014,Africa,$0,
22,Liberty Counsel,2014,Africa,$0,
23,LifeSiteNews,2014,Africa,$0,
24,Population Research Institute,2014,Africa,"$10,957",
25,Religious Freedom Institute,2014,Africa,,No 990
26,Summit Ministries,2014,Africa,$0,
27,The Heritage Foundation,2014,Africa,$630,
28,World Youth Alliance,2014,Africa,"$60,740",
1,Acton Institute for the Study of Religion and Liberty,2014,Asia,"$28,850",
2,Alliance Defending Freedom,2014,Asia,"$80,435",
3,American Center for Law and Justice,2014,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2014,Asia,$0,
5,Bethany Christian Services,2014,Asia,"$50,774",
6,Billy Graham Evangelistic Association,2014,Asia,"$4,438,984",
7,Capitol Ministries,2014,Asia,,No Schedule F
8,Cato Institute,2014,Asia,0,
9,Exodus Cry,2014,Asia,0,
10,Family Research Council,2014,Asia,,No Schedule F
11,Family Watch International,2014,Asia,,No Schedule F
12,Federalist Society,2014,Asia,"$40,378",
13,Fellowship Foundation,2014,Asia,"$378,784",
14,Focus on the Family,2014,Asia,"$250,080",
15,Heartbeat International,2014,Asia,"$69,036",
16,Home School Legal Defense Association,2014,Asia,$0,
17,Human Life International,2014,Asia,"$126,563",
18,International House of Prayer,2014,Asia,,No Schedule F
19,International Human Rights Group,2014,Asia,$0,
20,InterVarsity Christian Fellowship,2014,Asia,"$232,353",
21,Leadership Institute,2014,Asia,1864,
22,Liberty Counsel,2014,Asia,$0,
